Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
77000,Houston,TX,29.711257,-95.304936,-6,1,"29.711257,-95.304936"
77001,Houston,TX,29.813142,-95.309789,-6,1,"29.813142,-95.309789"
77002,Houston,TX,29.755578,-95.36531,-6,1,"29.755578,-95.36531"
77003,Houston,TX,29.749278,-95.34741,-6,1,"29.749278,-95.34741"
77004,Houston,TX,29.728779,-95.3657,-6,1,"29.728779,-95.3657"
77005,Houston,TX,29.717529,-95.42821,-6,1,"29.717529,-95.42821"
77006,Houston,TX,29.741878,-95.38944,-6,1,"29.741878,-95.38944"
77007,Houston,TX,29.772627,-95.40319,-6,1,"29.772627,-95.40319"
77008,Houston,TX,29.798777,-95.40951,-6,1,"29.798777,-95.40951"
77009,Houston,TX,29.79326,-95.36735,-6,1,"29.79326,-95.36735"
77010,Houston,TX,29.754728,-95.36216,-6,1,"29.754728,-95.36216"
77011,Houston,TX,29.742378,-95.30726,-6,1,"29.742378,-95.30726"
77012,Houston,TX,29.719778,-95.27906,-6,1,"29.719778,-95.27906"
77013,Houston,TX,29.78146,-95.24289,-6,1,"29.78146,-95.24289"
77014,Houston,TX,29.979063,-95.47294,-6,1,"29.979063,-95.47294"
77015,Houston,TX,29.778526,-95.18118,-6,1,"29.778526,-95.18118"
77016,Houston,TX,29.857007,-95.30886,-6,1,"29.857007,-95.30886"
77017,Houston,TX,29.687829,-95.25478,-6,1,"29.687829,-95.25478"
77018,Houston,TX,29.825476,-95.42619,-6,1,"29.825476,-95.42619"
77019,Houston,TX,29.752528,-95.39923,-6,1,"29.752528,-95.39923"
77020,Houston,TX,29.775927,-95.31836,-6,1,"29.775927,-95.31836"
77021,Houston,TX,29.695879,-95.3573,-6,1,"29.695879,-95.3573"
77022,Houston,TX,29.825176,-95.37798,-6,1,"29.825176,-95.37798"
77023,Houston,TX,29.725961,-95.3227,-6,1,"29.725961,-95.3227"
77024,Houston,TX,29.773994,-95.51771,-6,1,"29.773994,-95.51771"
77025,Houston,TX,29.69023,-95.43474,-6,1,"29.69023,-95.43474"
77026,Houston,TX,29.79437,-95.33395,-6,1,"29.79437,-95.33395"
77027,Houston,TX,29.739029,-95.44364,-6,1,"29.739029,-95.44364"
77028,Houston,TX,29.827315,-95.28631,-6,1,"29.827315,-95.28631"
77029,Houston,TX,29.760794,-95.26043,-6,1,"29.760794,-95.26043"
77030,Houston,TX,29.704584,-95.40466,-6,1,"29.704584,-95.40466"
77031,Houston,TX,29.654132,-95.54311,-6,1,"29.654132,-95.54311"
77032,Houston,TX,29.944922,-95.34152,-6,1,"29.944922,-95.34152"
77033,Houston,TX,29.66913,-95.33834,-6,1,"29.66913,-95.33834"
77034,Houston,TX,29.63643,-95.21789,-6,1,"29.63643,-95.21789"
77035,Houston,TX,29.654108,-95.47692,-6,1,"29.654108,-95.47692"
77036,Houston,TX,29.70053,-95.53514,-6,1,"29.70053,-95.53514"
77037,Houston,TX,29.885451,-95.39552,-6,1,"29.885451,-95.39552"
77038,Houston,TX,29.917814,-95.44138,-6,1,"29.917814,-95.44138"
77039,Houston,TX,29.909123,-95.33683,-6,1,"29.909123,-95.33683"
77040,Houston,TX,29.878345,-95.53337,-6,1,"29.878345,-95.53337"
77041,Houston,TX,29.85873,-95.57243,-6,1,"29.85873,-95.57243"
77042,Houston,TX,29.741565,-95.55996,-6,1,"29.741565,-95.55996"
77043,Houston,TX,29.802473,-95.5618,-6,1,"29.802473,-95.5618"
77044,Houston,TX,29.88277,-95.16782,-6,1,"29.88277,-95.16782"
77045,Houston,TX,29.629111,-95.43841,-6,1,"29.629111,-95.43841"
77046,Houston,TX,29.733181,-95.43131,-6,1,"29.733181,-95.43131"
77047,Houston,TX,29.616182,-95.37767,-6,1,"29.616182,-95.37767"
77048,Houston,TX,29.633081,-95.33761,-6,1,"29.633081,-95.33761"
77049,Houston,TX,29.832668,-95.1742,-6,1,"29.832668,-95.1742"
77050,Houston,TX,29.896156,-95.28687,-6,1,"29.896156,-95.28687"
77051,Houston,TX,29.66543,-95.36871,-6,1,"29.66543,-95.36871"
77052,Houston,TX,29.676829,-95.177587,-6,1,"29.676829,-95.177587"
77053,Houston,TX,29.596666,-95.45981,-6,1,"29.596666,-95.45981"
77054,Houston,TX,29.683865,-95.39772,-6,1,"29.683865,-95.39772"
77055,Houston,TX,29.798877,-95.49629,-6,1,"29.798877,-95.49629"
77056,Houston,TX,29.747328,-95.46931,-6,1,"29.747328,-95.46931"
77057,Houston,TX,29.745129,-95.49131,-6,1,"29.745129,-95.49131"
77058,Houston,TX,29.55283,-95.10265,-6,1,"29.55283,-95.10265"
77059,Houston,TX,29.601776,-95.11734,-6,1,"29.601776,-95.11734"
77060,Houston,TX,29.933367,-95.39916,-6,1,"29.933367,-95.39916"
77061,Houston,TX,29.66028,-95.28446,-6,1,"29.66028,-95.28446"
77062,Houston,TX,29.57493,-95.13238,-6,1,"29.57493,-95.13238"
77063,Houston,TX,29.734379,-95.52269,-6,1,"29.734379,-95.52269"
77064,Houston,TX,29.923638,-95.55919,-6,1,"29.923638,-95.55919"
77065,Houston,TX,29.927675,-95.60547,-6,1,"29.927675,-95.60547"
77066,Houston,TX,29.959439,-95.49694,-6,1,"29.959439,-95.49694"
77067,Houston,TX,29.952354,-95.45065,-6,1,"29.952354,-95.45065"
77068,Houston,TX,30.007886,-95.48532,-6,1,"30.007886,-95.48532"
77069,Houston,TX,29.984672,-95.52887,-6,1,"29.984672,-95.52887"
77070,Houston,TX,29.978801,-95.57655,-6,1,"29.978801,-95.57655"
77071,Houston,TX,29.647637,-95.51718,-6,1,"29.647637,-95.51718"
77072,Houston,TX,29.700898,-95.59002,-6,1,"29.700898,-95.59002"
77073,Houston,TX,30.008745,-95.41273,-6,1,"30.008745,-95.41273"
77074,Houston,TX,29.689781,-95.51161,-6,1,"29.689781,-95.51161"
77075,Houston,TX,29.620881,-95.26018,-6,1,"29.620881,-95.26018"
77076,Houston,TX,29.858525,-95.38178,-6,1,"29.858525,-95.38178"
77077,Houston,TX,29.750897,-95.61255,-6,1,"29.750897,-95.61255"
77078,Houston,TX,29.849424,-95.25951,-6,1,"29.849424,-95.25951"
77079,Houston,TX,29.773018,-95.60125,-6,1,"29.773018,-95.60125"
77080,Houston,TX,29.816866,-95.52309,-6,1,"29.816866,-95.52309"
77081,Houston,TX,29.70828,-95.48361,-6,1,"29.70828,-95.48361"
77082,Houston,TX,29.722704,-95.6314,-6,1,"29.722704,-95.6314"
77083,Houston,TX,29.691714,-95.64978,-6,1,"29.691714,-95.64978"
77084,Houston,TX,29.839155,-95.66391,-6,1,"29.839155,-95.66391"
77085,Houston,TX,29.621746,-95.48695,-6,1,"29.621746,-95.48695"
77086,Houston,TX,29.920981,-95.49556,-6,1,"29.920981,-95.49556"
77087,Houston,TX,29.686579,-95.30386,-6,1,"29.686579,-95.30386"
77088,Houston,TX,29.879213,-95.45028,-6,1,"29.879213,-95.45028"
77089,Houston,TX,29.589831,-95.22251,-6,1,"29.589831,-95.22251"
77090,Houston,TX,30.012711,-95.45132,-6,1,"30.012711,-95.45132"
77091,Houston,TX,29.852975,-95.43586,-6,1,"29.852975,-95.43586"
77092,Houston,TX,29.833326,-95.47644,-6,1,"29.833326,-95.47644"
77093,Houston,TX,29.862024,-95.33967,-6,1,"29.862024,-95.33967"
77094,Houston,TX,29.770722,-95.6988,-6,1,"29.770722,-95.6988"
77095,Houston,TX,29.896656,-95.64842,-6,1,"29.896656,-95.64842"
77096,Houston,TX,29.674336,-95.48123,-6,1,"29.674336,-95.48123"
77097,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77098,Houston,TX,29.735529,-95.41405,-6,1,"29.735529,-95.41405"
77099,Houston,TX,29.668489,-95.5869,-6,1,"29.668489,-95.5869"
77201,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77202,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77203,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77204,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77205,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77206,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77207,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77208,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77209,Houston,TX,29.612816,-95.158517,-6,1,"29.612816,-95.158517"
77210,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77212,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77213,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77215,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77216,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77217,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77218,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77219,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77220,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77221,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77222,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77223,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77224,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77225,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77226,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77227,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77228,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77229,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77230,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77231,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77233,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77234,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77235,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77236,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77237,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77238,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77240,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77241,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77242,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77243,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77244,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77245,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77248,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77249,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77251,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77252,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77253,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77254,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77255,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77256,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77257,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77258,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77259,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77261,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77262,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77263,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77265,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77266,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77267,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77268,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77269,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77270,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77271,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77272,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77273,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77274,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77275,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77277,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77279,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77280,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77281,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77282,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77284,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77287,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77288,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77289,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77290,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77291,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77292,Houston,TX,29.744341,-95.332598,-6,1,"29.744341,-95.332598"
77293,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77297,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77298,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77299,Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77315,North Houston,TX,29.83399,-95.434241,-6,1,"29.83399,-95.434241"
77587,South Houston,TX,29.66223,-95.23106,-6,1,"29.66223,-95.23106"