month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
202006,utah,ut,466500,0.0391,0.1119,8956,-0.1028,-0.286,56.5,-0.0088,0.13,4600,-0.0409,-0.2277,672,0.5701,0.098,2052,-0.1896,-0.5201,9895,0.1652,0.2064,183.0582458,0.0432,0.1703,2582,-0.0065,-0.0458,815362,0.0862,0.2051
202006,iowa,ia,225000,0.011,0.023,12127,-0.0481,-0.1252,77,0.0548,0.375,4284,0.0298,-0.1459,388,0.3662,0.0543,3504,0.1481,-0.2589,8465,0.1431,0.5772,128.8530263,0.0115,0.0237,1643.5,0.0027,-0.0063,262171,0.0205,0.0184
202006,california,ca,662230,0.0681,0.1261,61337,-0.0582,-0.2949,51,-0.1356,0.186,34692,0.0382,-0.2124,1768,0.2775,-0.0221,14324,-0.0194,-0.499,51007,0.3709,0.0948,362.75,0.072,0.1553,1873,0.0043,-0.0037,1345492,0.067,0.2318
202006,massachusetts,ma,600000,0.0434,0.0928,13466,0.0072,-0.3376,46,-0.303,0.0222,9020,0.2542,-0.1066,200,0.2195,-0.1667,3452,0.1631,-0.5006,4612,0.5698,0.3972,298.7751967,0.0543,0.1086,1975,-0.0025,-0.014,954775,0.0595,0.1235
202006,arkansas,ar,205050,0.0255,0.0427,9943,-0.0846,-0.3378,83,0.0247,0.1216,3304,0.0416,-0.2415,120,0.1538,0.0714,1848,0.1493,-0.4275,4600,0.1526,0.494,101.9768563,0.0125,0.0552,1969,0.0108,0.0223,280065,0.0266,0.0502
202006,new mexico,nm,279744,0.0283,0.0799,5725,-0.0683,-0.3206,83,0.0375,0.2206,1992,0.0779,-0.2976,100,0.1905,0.0417,1156,0.0947,-0.4266,3872,0.283,-0.0173,137.7656194,0.0195,0.072,1982.5,0.0074,0.0079,409580,0.0421,0.0684
202006,alabama,al,258574,0.0336,0.0821,16300,-0.0829,-0.2877,77,0.0267,0.0845,5832,-0.0202,-0.1616,876,0.2733,0.46,3288,0.0353,-0.3763,6940,0.1705,1.6499,115.0353218,0.0091,0.0674,2074,0.0137,0.037,336605,0.0226,0.0744
202006,colorado,co,517500,0.0349,0.0671,21279,0.0553,-0.1785,51,-0.1207,0.1591,11820,0.1151,-0.1593,808,0.6975,0.1348,6776,0.1152,-0.2962,17240,0.5495,0.1429,220.1725434,0.0504,0.1084,2371,-0.0202,-0.0219,902330,0.0238,0.0526
202006,district of columbia,dc,699950,0.007,0.0769,1379,0.0415,-0.1456,35.5,-0.1744,0.0758,944,0.2165,-0.1324,20,0.6667,0.25,352,0.0476,-0.4133,367,0.1541,0.1916,548.7788079,0.035,0.1106,1350,-0.0007,-0.0513,1041794,0.0024,0.0596
202006,nebraska,ne,255500,0.0018,0.0299,4332,-0.0814,-0.2018,66,-0.0149,0.4667,1924,-0.0942,-0.2723,204,0.7,0.9615,816,0.0681,-0.4302,4901,0.1228,9.126,119.5282282,0.0011,0.0234,1984,0.003,0.0061,304211,0.0109,0.0306
202006,alaska,ak,309750,0.0187,0.041,2511,0.0291,-0.2836,55,-0.1667,-0.1129,1128,0.2478,-0.0375,44,0.375,0.375,744,0.1847,-0.3652,120,0.3187,,174.6474558,0.0124,0.0482,1768.5,0.0106,-0.0175,354241,0.0198,0.0068
202006,missouri,mo,229950,0.0218,0.0698,15609,-0.075,-0.3236,74,0.0137,0.2333,7060,0.0915,-0.2392,380,0.3194,0.092,3812,0.1524,-0.4374,14647,0.1755,0.4931,113.438132,0.0157,0.0272,1882.5,0.0187,0.0458,312527,0.0388,0.0845
202006,nevada,nv,350000,0.0114,0.0293,11031,-0.0286,-0.145,55.5,-0.0089,0.2065,4344,0.0871,-0.275,348,0.2609,0.0875,2972,-0.0535,-0.4678,2186,0.3082,-0.3653,186.1094724,0.0067,0.0446,1895,0.008,-0.0115,609329,0.0313,0.0527
202006,rhode island,ri,425000,0.0626,0.1332,2163,-0.0649,-0.4135,53.5,-0.1508,0.163,1244,0.1147,-0.2916,16,-0.2,-0.3333,412,0.0198,-0.5654,2532,0.273,-0.0646,241.739532,0.0221,0.1064,1750,0.0163,0.0392,734500,0.0753,0.2079
202006,vermont,vt,317050,0.0602,0.0969,3241,-0.0125,-0.3403,129,-0.1677,0.2286,1060,0.3802,-0.1846,56,0.5556,1,432,0.3846,-0.4732,1216,0.4775,0.2345,155.9806034,0.0273,0.0744,2016,0.0131,0.003,458240,0.0389,0.1351
202006,connecticut,ct,396050,0.0286,0.0563,17122,0.1004,-0.2873,54.5,-0.2324,-0.0603,6480,0.2637,0.063,248,0.5897,1.0667,2652,0.2143,-0.5496,141,0.1653,0.396,181.0336818,0.0157,0.0464,2167,0.0117,0.0107,799266,0.0184,0.069
202006,wyoming,wy,289050,0.0325,0.1119,2861,0.048,-0.1769,71.5,-0.0833,0.007,1084,0.1681,-0.1086,28,0.1667,0.4,488,0.1193,-0.2078,922,0.1539,0.1425,128.6929091,0.011,0.0724,2214,0.01,0.0443,677434,0.0105,0.164
202006,idaho,id,399500,0.0245,0.0902,5997,-0.065,-0.2599,49,-0.0577,0.1667,3076,-0.0013,-0.2325,388,0.7321,1.7714,1372,-0.0755,-0.4395,5166,0.3267,4.7721,189.5804627,0.0212,0.1144,2212,0.0068,0.0018,637575,0.0504,0.1118
202006,new york,ny,499999.5,0.0019,0.01,62359,0.0369,-0.1795,79,0.0676,0.2344,21748,0.5517,-0.058,852,0.449,0.2679,7536,0.4616,-0.5782,31100,0.1041,1.0136,195.7773437,0.0324,0.2006,1562,0.0143,0.0331,1065921,-0.0147,-0.0102
202006,south dakota,sd,258000,0.0322,0.0619,3537,0.0178,-0.1271,50,-0.0385,0.1364,1224,-0.0699,-0.2426,36,2,0.2857,520,0.1927,-0.2737,890,0.1454,2.4902,130.7694292,0.0002,0.0617,1990,0.0258,-0.003,329058,0.0253,0.0788
202006,washington,wa,499525,0.0204,0.0363,13609,-0.0159,-0.2706,42,-0.1064,0.1667,9424,0.1025,-0.1604,912,0.52,1.5909,3496,0.0737,-0.4628,14537,0.2131,0.1962,243.7647475,0.0144,0.0636,2026,0.003,-0.0246,686334,0.0339,0.0272
202006,texas,tx,310000,0.0332,0.0332,83357,-0.0887,-0.2383,61,-0.0615,0.0893,37300,0.0432,-0.1573,4396,0.2362,0.4811,25192,0.0412,-0.3587,57962,0.251,0.2687,138.7539062,0.0128,0.0519,2224,0.01,-0.0271,445148,0.0356,0.048
202006,north carolina,nc,338466,0.0352,0.0575,30295,-0.1158,-0.3295,80.5,0.0878,0.2015,12484,0.0608,-0.1995,1676,0.4349,0.2853,6956,0.0432,-0.4311,22615,0.2138,0.1834,140.4003906,0.0054,0.0662,1997.5,0.0088,-0.0012,461393,0.0378,0.0827
202006,new jersey,nj,429549.5,0.0501,0.086,32792,-0.0097,-0.3623,60,-0.2,0.1321,16604,0.4033,-0.0444,564,0.7625,0.3056,6144,0.1788,-0.5662,7545,0.2986,3.4619,54.0273224,-0.3278,0.0805,640.5,-0.2552,-0.1104,632179,0.0552,0.1283
202006,kentucky,ky,239050,0.0214,0.0868,8931,-0.1077,-0.3895,78.5,0.0064,0.3083,3680,0.0407,-0.3255,160,-0.0244,0.0811,2188,0.0621,-0.4859,9590,0.1732,0.279,111.785781,0.0129,0.0858,1950,0.0114,0.0104,316354,0.0336,0.0985
202006,oregon,or,449950,0.0227,0.0465,11012,-0.0879,-0.3844,58.5,-0.025,0.3295,5784,0.0743,-0.315,1560,0.1712,2.6111,4088,0.058,-0.3281,10885,0.2774,3.4739,227.8209595,0.013,0.0395,2025,0.0125,0.0125,595961,0.0388,0.0675
202006,oklahoma,ok,238970,0.0392,0.1382,10681,-0.0815,-0.2982,61.5,-0.0391,0.0424,4468,-0.0141,-0.1538,256,0.1228,0.7778,2712,0.0431,-0.3573,4065,0.1945,0.3297,112.8266904,0.0017,0.0926,2004.5,0.0196,0.0269,313214,0.0358,0.1056
202006,arizona,az,385526,0.0519,0.0798,14966,-0.2237,-0.3883,63,0.125,0.1053,7624,-0.0915,-0.2427,940,0.3277,-0.1637,4676,-0.2889,-0.5376,18865,0.2512,0.1425,192.2127087,0.0243,0.1045,2083.5,0.0208,-0.02,612145,0.0591,0.1084
202006,montana,mt,395050,0.0395,0.0822,4908,-0.0151,-0.3062,84.5,-0.0815,0.2803,1736,0.0716,-0.2838,60,0.1538,0.3636,744,0.1847,-0.4329,3364,0.3089,0.527,188.188083,0.0189,0.1142,2208,0.0175,0.0027,709948,0.0378,0.1759
202006,tennessee,tn,323945,0.0315,0.0979,18150,-0.0955,-0.3247,55,-0.0678,0.0784,8836,-0.0273,-0.2054,852,0.0812,0.5106,4868,0.0509,-0.3749,14745,0.1647,0.2377,141.207842,0.0229,0.113,2035.5,0.0067,-0.0214,452664,0.0424,0.1218
202006,hawaii,hi,631550,0.004,-0.0966,6851,0.0236,0.1418,87.5,0.0938,0.1513,1576,0.1903,-0.1066,64,0.1429,0.3333,748,0.0809,-0.3682,836,0.2571,-0.1747,514.3025327,0.0096,0.0099,1214,0,-0.0967,1142244,-0.0058,-0.1469
202006,maine,me,289550,0.0527,0.1134,5600,0.0041,-0.3451,86,-0.2037,0.3231,2280,0.3073,-0.3108,52,-0.0714,-0.1875,884,0.3077,-0.5045,1162,0.3512,0.3086,169.027392,0.0369,0.1187,1688,0.0048,-0.0094,431601,0.0478,0.1216
202006,west virginia,wv,173800,0.0221,-0.0071,5315,-0.0639,-0.3411,100.5,0.0469,0.2722,1568,0.1232,-0.2176,56,0.1667,-0.3636,1064,0.113,-0.4022,2533,0.1646,0.2832,82.99236158,-0.0041,-0.0463,1643,-0.0018,-0.022,245687,0.0317,0.0385
202006,wisconsin,wi,275050,0.0004,0.0788,14295,-0.0358,-0.3044,63,-0.0455,0.1887,6660,0.1242,-0.2497,180,0.3235,0.3636,2904,0.0868,-0.4229,10209,0.2175,0.0455,137.2371142,-0.0016,0.0341,1837,-0.0016,0.0011,356798,0.0091,0.0642
202006,north dakota,nd,238700,-0.0015,-0.0052,2956,-0.0127,-0.2391,68,-0.0685,0.1724,1032,0.0488,-0.1195,12,-0.4,-0.5714,752,0.1325,-0.3088,1287,0.2507,4.0078,113.5926573,0.0001,0.0081,2120,0.0009,-0.0103,279628,0.0078,-0.0194
202006,minnesota,mn,309950,-0.0003,0.0505,17165,0.0016,-0.2344,46.5,-0.1058,0.0814,9396,0.078,-0.1864,224,0.2174,-0.0345,4368,0.2,-0.3515,12475,0.198,0.1052,153.1796875,0.002,0.0634,2020,0.0015,-0.0079,402774,0.0136,0.057
202006,michigan,mi,250000,0.0419,0.0867,27182,-0.0443,-0.301,58,-0.2468,0.2889,14184,-0.025,-0.2331,456,0.2258,0.1875,7056,0.3154,-0.4079,15187,0.7129,1.3868,139.2711569,0.0245,0.0812,1744,0.0301,0.0093,355582,0.0648,0.0993
202006,new hampshire,nh,395050,0.0262,0.1289,3509,-0.0307,-0.3912,52.5,-0.2045,0.0714,2172,0.1553,-0.2582,100,0.0417,0.25,716,0.1854,-0.5214,2439,0.3127,-0.0321,187.8900218,0.0139,0.1016,2011,0.0055,-0.002,501891,0.0278,0.0876
202006,indiana,in,235000,0.022,0.0684,11335,-0.1025,-0.3518,58,-0.0938,0.1373,6092,-0.0007,-0.287,276,0.38,0.4681,3636,0.0412,-0.4214,8874,0.1765,0.127,107.0222088,0.0169,0.0927,2016.5,0.0123,-0.0154,302131,0.0405,0.0479
202006,louisiana,la,245800,0.0244,0.0597,14302,-0.0834,-0.2677,93.5,0.0625,0.1987,4192,0.0428,-0.1882,220,0.7188,0.1,3664,0.1212,-0.3434,7810,0.2301,0.9628,123.488065,0.0139,0.0567,1959.5,0.0116,0.0297,325588,0.0355,0.0614
202006,south carolina,sc,290958,0.0066,0.0066,22168,-0.0998,-0.2502,85.5,0.0823,0.1712,7376,0.0239,-0.1948,1240,0.5347,0.2302,5656,0.0632,-0.3172,14536,0.2126,0.2208,125.7579572,-0.0121,0.1428,1689.5,-0.0189,0.0639,441998,0.0215,0.0311
202006,delaware,de,340200,0.0108,0.0473,3143,-0.0826,-0.3514,98.5,0.0707,0.2468,1192,0.1462,-0.1486,184,0.3939,0.3143,600,0.1628,-0.4737,671,0.2954,0.2781,156.9206754,-0.0014,0.0562,2002,0.005,0.0157,453007,0.0143,0.0727
202006,virginia,va,357050,0.0203,0.0531,23159,-0.0882,-0.3542,63.5,0.0583,0.1545,11388,0.1086,-0.1781,1132,0.6264,0.7911,4736,-0.0633,-0.5109,13394,0.1115,0.2149,157.734375,0.0187,0.0677,2187,0.0064,0.0009,508829,0.0208,0.1092
202006,illinois,il,250050,0.0208,-0.0562,44253,-0.02,-0.218,69.5,-0.0479,0.5109,20388,0.2078,-0.2417,360,0.4754,-0.0217,11580,0.1234,-0.4027,31031,0.2648,0.1421,121.84375,0.021,-0.0252,1736,-0.0017,-0.028,373931,0.0336,-0.0149
202006,florida,fl,339950,0.0146,0.0059,122441,-0.0825,-0.1696,96.5,0.1092,0.2063,37012,0.0648,-0.0762,4716,0.107,0.2294,27012,-0.0226,-0.3194,66805,0.2761,0.1179,188.78125,0.0184,0.0416,1697,-0.0047,-0.0418,686731,0.0326,0.0653
202006,kansas,ks,219950,0.0471,0.1022,6339,-0.0917,-0.3622,72,-0.027,0.2203,2972,0.0847,-0.2883,128,0,-0.1111,1512,-0.0053,-0.5013,6412,0.1401,3.8686,100.9968102,0.0245,0.0714,2097,0.0279,0.0269,316267,0.0577,0.1113
202006,georgia,ga,321714,0.038,0.0726,51019,-0.104,-0.3022,60.5,-0.0242,0.0614,22788,0.0117,-0.1745,2620,0.1391,0.1235,13084,-0.084,-0.4217,39401,0.2293,0.1487,119.8164062,0.0219,0.1091,2096,0.0135,0.0275,437160,0.0365,0.0828
202006,pennsylvania,pa,250000,0.0419,0.1109,28889,-0.0281,-0.348,83,-0.0879,0.3833,14744,0.4461,-0.136,632,0.3982,0.0676,7788,1.2405,-0.4258,13421,0.9685,0.0604,122.4765625,0.054,0.2263,1733.5,0.0197,0.1169,362440,0.0486,0.131
202006,mississippi,ms,216927.5,0.023,0.0844,7810,-0.0824,-0.2895,99.5,0.0585,0.2284,2288,0.0457,-0.1805,156,0.0833,0.3448,1464,-0.0343,-0.402,3893,0.0482,0.3713,101.2828947,0.0128,0.0641,2008.5,0.0043,0.018,277729,0.0257,0.0542
202006,maryland,md,363545,0.0182,0.0386,12685,-0.086,-0.4193,52.5,-0.1532,0.0714,7208,0.1603,-0.2358,480,0.0619,0.0169,3532,0.0149,-0.5399,3991,0.2642,0.137,174.6997165,0.004,0.0327,1918,0.0105,-0.0169,501323,0.0447,0.0818
202006,ohio,oh,219950,0.0727,0.105,18212,-0.0851,-0.3811,57.5,-0.1016,0.15,10860,0.0974,-0.2836,472,0.1456,0.4937,5888,0.0598,-0.4409,23346,0.1504,0.0781,102.6382421,0.024,0.0086,1768,0.0231,0.0493,300605,0.0372,0.0899
